"","Class","case","fraction_total_reads","group","sex","sample"
"688","Spartobacteria","19.unmapped",0.00010362,"control","male","exo"
"689","Spartobacteria","26.unmapped",6.25e-05,"control","fem","exo"
"690","Spartobacteria","17.unmapped",9.08e-05,"control","male","exo"
"691","Flavobacteriia","27.unmapped",6.85e-05,"malt","fem","exo"
"692","Flavobacteriia","26.unmapped",6.77e-05,"control","fem","exo"
"693","Betaproteobacteria","19.unmapped",5.22e-05,"control","male","exo"
"694","Alphaproteobacteria","29.unmapped",4.11e-05,"malt","fem","exo"
"695","Alphaproteobacteria","23.unmapped",8.14e-05,"malt","male","exo"
"696","Alphaproteobacteria","22.unmapped",4.71e-05,"malt","male","exo"
"697","Alphaproteobacteria","28.unmapped",4.11e-05,"malt","fem","exo"
"698","Alphaproteobacteria","18.unmapped",0.000126741,"control","male","exo"
"699","Alphaproteobacteria","29.unmapped",4.97e-05,"malt","fem","exo"
"700","Alphaproteobacteria","23.unmapped",7.36e-05,"malt","male","exo"
"701","Alphaproteobacteria","22.unmapped",5.4e-05,"malt","male","exo"
"702","Alphaproteobacteria","23.unmapped",7.28e-05,"malt","male","exo"
"703","Alphaproteobacteria","26.unmapped",7.88e-05,"control","fem","exo"
"704","Alphaproteobacteria","19.unmapped",5.65e-05,"control","male","exo"
"705","Alphaproteobacteria","27.unmapped",8.48e-05,"malt","fem","exo"
"706","Alphaproteobacteria","24.unmapped",4.8e-05,"control","fem","exo"
"707","Actinomycetia","27.unmapped",5.14e-05,"malt","fem","exo"
"708","Gammaproteobacteria","27.unmapped",6.08e-05,"malt","fem","exo"
"709","Gammaproteobacteria","24.unmapped",8.91e-05,"control","fem","exo"
"710","Gammaproteobacteria","25.unmapped",7.36e-05,"control","fem","exo"
"711","Gammaproteobacteria","21.unmapped",8.31e-05,"malt","male","exo"
"712","Gammaproteobacteria","17.unmapped",8.56e-05,"control","male","exo"
"713","Gammaproteobacteria","20.unmapped",7.36e-05,"control","male","exo"
"714","Gammaproteobacteria","28.unmapped",6.59e-05,"malt","fem","exo"
"715","Gammaproteobacteria","19.unmapped",7.71e-05,"control","male","exo"
"716","Gammaproteobacteria","29.unmapped",7.45e-05,"malt","fem","exo"
"717","Gammaproteobacteria","18.unmapped",5.74e-05,"control","male","exo"
"718","Gammaproteobacteria","22.unmapped",6.94e-05,"malt","male","exo"
"719","Gammaproteobacteria","26.unmapped",9.85e-05,"control","fem","exo"
"720","Chitinophagia","28.unmapped",8.48e-05,"malt","fem","exo"
"721","Chitinophagia","22.unmapped",9.25e-05,"malt","male","exo"
"722","Chitinophagia","18.unmapped",7.88e-05,"control","male","exo"
"723","Chitinophagia","29.unmapped",8.48e-05,"malt","fem","exo"
"724","Chitinophagia","20.unmapped",5.74e-05,"control","male","exo"
"725","Chitinophagia","19.unmapped",7.19e-05,"control","male","exo"
"726","Chitinophagia","17.unmapped",8.14e-05,"control","male","exo"
"727","Chitinophagia","29.unmapped",0.00011304,"malt","fem","exo"
"728","Chitinophagia","28.unmapped",0.000131023,"malt","fem","exo"
"729","Chitinophagia","19.unmapped",9.68e-05,"control","male","exo"
"730","Chitinophagia","26.unmapped",5.48e-05,"control","fem","exo"
"731","Chitinophagia","24.unmapped",6.17e-05,"control","fem","exo"
"732","Chitinophagia","17.unmapped",0.000108758,"control","male","exo"
"733","Chitinophagia","22.unmapped",0.00015757,"malt","male","exo"
"734","Chitinophagia","18.unmapped",9.59e-05,"control","male","exo"
"735","Chitinophagia","27.unmapped",5.91e-05,"malt","fem","exo"
"736","Deltaproteobacteria","23.unmapped",0.000132736,"malt","male","exo"
"737","Deltaproteobacteria","29.unmapped",0.000294588,"malt","fem","exo"
"738","Deltaproteobacteria","17.unmapped",0.000338263,"control","male","exo"
"739","Deltaproteobacteria","27.unmapped",0.000218372,"malt","fem","exo"
"740","Deltaproteobacteria","20.unmapped",0.000119891,"control","male","exo"
"741","Deltaproteobacteria","22.unmapped",0.00038365,"malt","male","exo"
"742","Deltaproteobacteria","18.unmapped",0.000307434,"control","male","exo"
"743","Deltaproteobacteria","28.unmapped",0.000367379,"malt","fem","exo"
"744","Deltaproteobacteria","26.unmapped",9.33e-05,"control","fem","exo"
"745","Deltaproteobacteria","25.unmapped",0.000112183,"control","fem","exo"
"746","Deltaproteobacteria","21.unmapped",0.000110471,"malt","male","exo"
"747","Deltaproteobacteria","24.unmapped",0.000112183,"control","fem","exo"
"748","Deltaproteobacteria","19.unmapped",0.000290306,"control","male","exo"
"749","Flavobacteriia","29.unmapped",4.2e-05,"malt","fem","exo"
"750","Flavobacteriia","20.unmapped",5.57e-05,"control","male","exo"
"751","Flavobacteriia","25.unmapped",0.000100194,"control","fem","exo"
"752","Flavobacteriia","19.unmapped",6.59e-05,"control","male","exo"
"753","Flavobacteriia","22.unmapped",7.88e-05,"malt","male","exo"
"754","Flavobacteriia","26.unmapped",0.000143869,"control","fem","exo"
"755","Flavobacteriia","23.unmapped",9.76e-05,"malt","male","exo"
"756","Flavobacteriia","21.unmapped",4.45e-05,"malt","male","exo"
"757","Flavobacteriia","28.unmapped",5.57e-05,"malt","fem","exo"
"758","Cytophagia","22.unmapped",0.00013873,"malt","male","exo"
"759","Cytophagia","19.unmapped",7.54e-05,"control","male","exo"
"760","Cytophagia","29.unmapped",9.93e-05,"malt","fem","exo"
"761","Cytophagia","27.unmapped",5.14e-05,"malt","fem","exo"
"762","Cytophagia","28.unmapped",9.59e-05,"malt","fem","exo"
"763","Cytophagia","18.unmapped",8.99e-05,"control","male","exo"
"764","Cytophagia","17.unmapped",8.48e-05,"control","male","exo"
"765","Clostridia","29.unmapped",0.000615723,"malt","fem","exo"
"766","Clostridia","26.unmapped",0.000781001,"control","fem","exo"
"767","Clostridia","22.unmapped",0.000624287,"malt","male","exo"
"768","Clostridia","25.unmapped",0.000271466,"control","fem","exo"
"769","Clostridia","18.unmapped",0.000435888,"control","male","exo"
"770","Clostridia","21.unmapped",0.000335693,"malt","male","exo"
"771","Clostridia","20.unmapped",0.000375942,"control","male","exo"
"772","Clostridia","27.unmapped",0.000543789,"malt","fem","exo"
"773","Clostridia","19.unmapped",0.000248345,"control","male","exo"
"774","Clostridia","17.unmapped",0.000454728,"control","male","exo"
"775","Clostridia","28.unmapped",0.000527518,"malt","fem","exo"
"776","Clostridia","24.unmapped",0.000359672,"control","fem","exo"
"777","Clostridia","18.unmapped",0.000132736,"control","male","exo"
"778","Clostridia","19.unmapped",0.00022351,"control","male","exo"
"779","Clostridia","21.unmapped",0.000286881,"malt","male","exo"
"780","Clostridia","28.unmapped",0.00015757,"malt","fem","exo"
"781","Clostridia","25.unmapped",0.000147294,"control","fem","exo"
"782","Clostridia","17.unmapped",0.000109614,"control","male","exo"
"783","Clostridia","20.unmapped",0.000191825,"control","male","exo"
"784","Clostridia","22.unmapped",0.000145581,"malt","male","exo"
"785","Clostridia","24.unmapped",0.000304864,"control","fem","exo"
"786","Clostridia","23.unmapped",0.000107045,"malt","male","exo"
"787","Clostridia","27.unmapped",0.000539507,"malt","fem","exo"
"788","Clostridia","29.unmapped",0.000135305,"malt","fem","exo"
"789","Clostridia","26.unmapped",0.00069194,"control","fem","exo"
"790","Clostridia","19.unmapped",4.11e-05,"control","male","exo"
"791","Clostridia","17.unmapped",4.2e-05,"control","male","exo"
"792","Clostridia","27.unmapped",6.08e-05,"malt","fem","exo"
"793","Clostridia","28.unmapped",6.08e-05,"malt","fem","exo"
"794","Clostridia","17.unmapped",0.000264616,"control","male","exo"
"795","Clostridia","29.unmapped",0.000100194,"malt","fem","exo"
"796","Clostridia","20.unmapped",0.000154145,"control","male","exo"
"797","Clostridia","25.unmapped",0.000190968,"control","fem","exo"
"798","Clostridia","18.unmapped",0.000137018,"control","male","exo"
"799","Clostridia","22.unmapped",0.000199532,"malt","male","exo"
"800","Clostridia","19.unmapped",0.00013188,"control","male","exo"
"801","Clostridia","24.unmapped",7.96e-05,"control","fem","exo"
"802","Clostridia","29.unmapped",4.11e-05,"malt","fem","exo"
"803","Clostridia","21.unmapped",4.71e-05,"malt","male","exo"
"804","Clostridia","28.unmapped",6.08e-05,"malt","fem","exo"
"805","Actinomycetia","28.unmapped",5.91e-05,"malt","fem","exo"
"806","Actinomycetia","29.unmapped",0.000107045,"malt","fem","exo"
"807","Actinomycetia","18.unmapped",6.85e-05,"control","male","exo"
"808","Actinomycetia","17.unmapped",9.33e-05,"control","male","exo"
"809","Betaproteobacteria","26.unmapped",0.000225223,"control","fem","exo"
"810","Betaproteobacteria","25.unmapped",0.000212377,"control","fem","exo"
"811","Betaproteobacteria","21.unmapped",0.000301439,"malt","male","exo"
"812","Betaproteobacteria","20.unmapped",0.003682352,"control","male","exo"
"813","Betaproteobacteria","24.unmapped",0.000203814,"control","fem","exo"
"814","Betaproteobacteria","26.unmapped",5.91e-05,"control","fem","exo"
"815","Betaproteobacteria","17.unmapped",4.45e-05,"control","male","exo"
"816","Betaproteobacteria","24.unmapped",4.62e-05,"control","fem","exo"
"817","Betaproteobacteria","27.unmapped",7.71e-05,"malt","fem","exo"
"818","Betaproteobacteria","19.unmapped",5.65e-05,"control","male","exo"
"819","Betaproteobacteria","21.unmapped",6.51e-05,"malt","male","exo"
"820","Betaproteobacteria","20.unmapped",0.000369948,"control","male","exo"
"821","Betaproteobacteria","25.unmapped",4.45e-05,"control","fem","exo"
"822","Betaproteobacteria","28.unmapped",6.59e-05,"malt","fem","exo"
"823","Betaproteobacteria","20.unmapped",0.000153289,"control","male","exo"
"824","Betaproteobacteria","26.unmapped",5.31e-05,"control","fem","exo"
"825","Coriobacteriia","27.unmapped",7.02e-05,"malt","fem","exo"
"826","Betaproteobacteria","19.unmapped",4.45e-05,"control","male","exo"
"827","Betaproteobacteria","26.unmapped",8.05e-05,"control","fem","exo"
"828","Betaproteobacteria","24.unmapped",4.37e-05,"control","fem","exo"
"829","Betaproteobacteria","25.unmapped",6.25e-05,"control","fem","exo"
"830","Betaproteobacteria","21.unmapped",4.37e-05,"malt","male","exo"
"831","Betaproteobacteria","20.unmapped",5.05e-05,"control","male","exo"
"832","Betaproteobacteria","19.unmapped",7.45e-05,"control","male","exo"
"833","Betaproteobacteria","24.unmapped",0.000116465,"control","fem","exo"
"834","Betaproteobacteria","21.unmapped",8.14e-05,"malt","male","exo"
"835","Betaproteobacteria","28.unmapped",4.11e-05,"malt","fem","exo"
"836","Betaproteobacteria","26.unmapped",7.54e-05,"control","fem","exo"
"837","Betaproteobacteria","21.unmapped",4.28e-05,"malt","male","exo"
"838","Betaproteobacteria","18.unmapped",7.45e-05,"control","male","exo"
"839","Betaproteobacteria","26.unmapped",7.45e-05,"control","fem","exo"
"840","Betaproteobacteria","25.unmapped",5.91e-05,"control","fem","exo"
"841","Betaproteobacteria","20.unmapped",6.51e-05,"control","male","exo"
"842","Betaproteobacteria","21.unmapped",7.62e-05,"malt","male","exo"
"843","Betaproteobacteria","29.unmapped",4.54e-05,"malt","fem","exo"
"844","Betaproteobacteria","24.unmapped",8.31e-05,"control","fem","exo"
"845","Betaproteobacteria","19.unmapped",4.97e-05,"control","male","exo"
"846","Betaproteobacteria","18.unmapped",5.4e-05,"control","male","exo"
"847","Betaproteobacteria","22.unmapped",4.88e-05,"malt","male","exo"
"848","Betaproteobacteria","17.unmapped",4.62e-05,"control","male","exo"
"849","Thermoleophilia","22.unmapped",0.000117321,"malt","male","exo"
"850","Thermoleophilia","19.unmapped",9.16e-05,"control","male","exo"
"851","Thermoleophilia","18.unmapped",9.85e-05,"control","male","exo"
"852","Thermoleophilia","29.unmapped",0.000108758,"malt","fem","exo"
"853","Thermoleophilia","27.unmapped",9.42e-05,"malt","fem","exo"
"854","Thermoleophilia","28.unmapped",0.000146438,"malt","fem","exo"
"855","Thermoleophilia","20.unmapped",5.91e-05,"control","male","exo"
"856","Thermoleophilia","17.unmapped",0.000121603,"control","male","exo"
"857","Deltaproteobacteria","24.unmapped",7.88e-05,"control","fem","exo"
"858","Actinomycetia","26.unmapped",0.003479394,"control","fem","exo"
"859","Actinomycetia","18.unmapped",0.000650834,"control","male","exo"
"860","Actinomycetia","28.unmapped",0.000632851,"malt","fem","exo"
"861","Actinomycetia","25.unmapped",0.000535226,"control","fem","exo"
"862","Actinomycetia","21.unmapped",0.000564342,"malt","male","exo"
"863","Actinomycetia","17.unmapped",0.000799841,"control","male","exo"
"864","Actinomycetia","27.unmapped",0.000791277,"malt","fem","exo"
"865","Actinomycetia","20.unmapped",0.001378741,"control","male","exo"
"866","Actinomycetia","29.unmapped",0.000173841,"malt","fem","exo"
"867","Actinomycetia","22.unmapped",0.000233787,"malt","male","exo"
"868","Actinomycetia","19.unmapped",0.000408484,"control","male","exo"
"869","Actinomycetia","24.unmapped",0.002319882,"control","fem","exo"
"870","Actinomycetia","19.unmapped",4.45e-05,"control","male","exo"
"871","Actinomycetia","28.unmapped",5.31e-05,"malt","fem","exo"
"872","Actinomycetia","27.unmapped",6.17e-05,"malt","fem","exo"
"873","Actinomycetia","29.unmapped",7.19e-05,"malt","fem","exo"
"874","Actinomycetia","17.unmapped",9.68e-05,"control","male","exo"
"875","Actinomycetia","24.unmapped",8.91e-05,"control","fem","exo"
"876","Actinomycetia","21.unmapped",0.000162709,"malt","male","exo"
"877","Actinomycetia","20.unmapped",0.000167847,"control","male","exo"
"878","Actinomycetia","18.unmapped",9.59e-05,"control","male","exo"
"879","Actinomycetia","27.unmapped",4.97e-05,"malt","fem","exo"
"880","Actinomycetia","27.unmapped",4.97e-05,"malt","fem","exo"
"881","Actinomycetia","27.unmapped",8.31e-05,"malt","fem","exo"
"882","Actinomycetia","27.unmapped",6.77e-05,"malt","fem","exo"
"883","Actinomycetia","27.unmapped",5.74e-05,"malt","fem","exo"
"884","Actinomycetia","27.unmapped",6.59e-05,"malt","fem","exo"
"885","Alphaproteobacteria","21.unmapped",4.62e-05,"malt","male","exo"
"886","Alphaproteobacteria","29.unmapped",8.99e-05,"malt","fem","exo"
"887","Alphaproteobacteria","28.unmapped",6.85e-05,"malt","fem","exo"
"888","Betaproteobacteria","27.unmapped",0.000125885,"malt","fem","exo"
"889","Betaproteobacteria","24.unmapped",8.39e-05,"control","fem","exo"
"890","Betaproteobacteria","22.unmapped",0.000147294,"malt","male","exo"
"891","Betaproteobacteria","23.unmapped",0.000827245,"malt","male","exo"
"892","Betaproteobacteria","21.unmapped",5.57e-05,"malt","male","exo"
"893","Betaproteobacteria","19.unmapped",0.000154145,"control","male","exo"
"894","Betaproteobacteria","26.unmapped",0.000145581,"control","fem","exo"
"895","Betaproteobacteria","17.unmapped",5.65e-05,"control","male","exo"
"896","Betaproteobacteria","18.unmapped",4.2e-05,"control","male","exo"
"897","Betaproteobacteria","25.unmapped",0.000267185,"control","fem","exo"
"898","Betaproteobacteria","29.unmapped",0.000110471,"malt","fem","exo"
"899","Betaproteobacteria","28.unmapped",7.45e-05,"malt","fem","exo"
"900","Betaproteobacteria","20.unmapped",0.000178979,"control","male","exo"
"901","Betaproteobacteria","23.unmapped",4.28e-05,"malt","male","exo"
"902","Actinomycetia","27.unmapped",6.25e-05,"malt","fem","exo"
"903","Actinomycetia","27.unmapped",4.71e-05,"malt","fem","exo"
"904","Betaproteobacteria","27.unmapped",5.22e-05,"malt","fem","exo"
"905","Betaproteobacteria","26.unmapped",0.000163565,"control","fem","exo"
"906","Betaproteobacteria","24.unmapped",0.000114752,"control","fem","exo"
"907","Betaproteobacteria","21.unmapped",0.000107045,"malt","male","exo"
"908","Betaproteobacteria","19.unmapped",7.71e-05,"control","male","exo"
"909","Betaproteobacteria","20.unmapped",0.00011304,"control","male","exo"
"910","Betaproteobacteria","17.unmapped",0.000116465,"control","male","exo"
"911","Betaproteobacteria","18.unmapped",8.14e-05,"control","male","exo"
"912","Betaproteobacteria","23.unmapped",4.71e-05,"malt","male","exo"
"913","Betaproteobacteria","22.unmapped",8.31e-05,"malt","male","exo"
"914","Betaproteobacteria","25.unmapped",0.000688514,"control","fem","exo"
"915","Betaproteobacteria","28.unmapped",0.000127598,"malt","fem","exo"
"916","Betaproteobacteria","29.unmapped",8.65e-05,"malt","fem","exo"
"917","Actinomycetia","17.unmapped",0.000262046,"control","male","exo"
"918","Actinomycetia","23.unmapped",0.000100194,"malt","male","exo"
"919","Actinomycetia","27.unmapped",0.000416191,"malt","fem","exo"
"920","Actinomycetia","28.unmapped",0.000222654,"malt","fem","exo"
"921","Actinomycetia","29.unmapped",0.00012246,"malt","fem","exo"
"922","Actinomycetia","26.unmapped",0.001111556,"control","fem","exo"
"923","Actinomycetia","21.unmapped",0.002326733,"malt","male","exo"
"924","Actinomycetia","20.unmapped",0.000567767,"control","male","exo"
"925","Actinomycetia","22.unmapped",0.000255196,"malt","male","exo"
"926","Actinomycetia","25.unmapped",0.000325417,"control","fem","exo"
"927","Actinomycetia","19.unmapped",0.000283455,"control","male","exo"
"928","Actinomycetia","24.unmapped",0.001385592,"control","fem","exo"
"929","Actinomycetia","18.unmapped",0.000178123,"control","male","exo"
"930","Actinomycetia","21.unmapped",4.88e-05,"malt","male","exo"
"931","Cytophagia","28.unmapped",9.76e-05,"malt","fem","exo"
"932","Cytophagia","18.unmapped",0.000104476,"control","male","exo"
"933","Cytophagia","27.unmapped",5.14e-05,"malt","fem","exo"
"934","Cytophagia","17.unmapped",0.000104476,"control","male","exo"
"935","Cytophagia","19.unmapped",7.88e-05,"control","male","exo"
"936","Cytophagia","29.unmapped",0.000108758,"malt","fem","exo"
"937","Cytophagia","22.unmapped",0.000104476,"malt","male","exo"
"938","Betaproteobacteria","17.unmapped",7.54e-05,"control","male","exo"
"939","Betaproteobacteria","18.unmapped",7.19e-05,"control","male","exo"
"940","Betaproteobacteria","28.unmapped",6.42e-05,"malt","fem","exo"
"941","Betaproteobacteria","27.unmapped",5.48e-05,"malt","fem","exo"
"942","Betaproteobacteria","19.unmapped",4.54e-05,"control","male","exo"
"943","Betaproteobacteria","29.unmapped",7.96e-05,"malt","fem","exo"
"944","Betaproteobacteria","22.unmapped",8.22e-05,"malt","male","exo"
"945","Betaproteobacteria","18.unmapped",0.000172985,"control","male","exo"
"946","Betaproteobacteria","22.unmapped",0.000125885,"malt","male","exo"
"947","Betaproteobacteria","27.unmapped",0.00010362,"malt","fem","exo"
"948","Betaproteobacteria","25.unmapped",6.59e-05,"control","fem","exo"
"949","Betaproteobacteria","24.unmapped",9.76e-05,"control","fem","exo"
"950","Betaproteobacteria","26.unmapped",8.56e-05,"control","fem","exo"
"951","Betaproteobacteria","28.unmapped",0.000167847,"malt","fem","exo"
"952","Betaproteobacteria","17.unmapped",0.000155001,"control","male","exo"
"953","Betaproteobacteria","29.unmapped",0.000144725,"malt","fem","exo"
"954","Betaproteobacteria","20.unmapped",9.25e-05,"control","male","exo"
"955","Betaproteobacteria","21.unmapped",6.59e-05,"malt","male","exo"
"956","Betaproteobacteria","19.unmapped",0.000123316,"control","male","exo"
"957","Alphaproteobacteria","18.unmapped",0.000187543,"control","male","exo"
"958","Alphaproteobacteria","17.unmapped",0.000194394,"control","male","exo"
"959","Alphaproteobacteria","21.unmapped",0.000119034,"malt","male","exo"
"960","Alphaproteobacteria","28.unmapped",0.000268897,"malt","fem","exo"
"961","Alphaproteobacteria","26.unmapped",9.51e-05,"control","fem","exo"
"962","Alphaproteobacteria","22.unmapped",0.00028945,"malt","male","exo"
"963","Alphaproteobacteria","25.unmapped",0.000115609,"control","fem","exo"
"964","Alphaproteobacteria","29.unmapped",0.000322848,"malt","fem","exo"
"965","Alphaproteobacteria","19.unmapped",0.000193538,"control","male","exo"
"966","Alphaproteobacteria","20.unmapped",7.79e-05,"control","male","exo"
"967","Alphaproteobacteria","27.unmapped",8.31e-05,"malt","fem","exo"
"968","Alphaproteobacteria","24.unmapped",0.000105332,"control","fem","exo"
"969","Dehalococcoidia","26.unmapped",4.28e-05,"control","fem","exo"
"970","Deinococci","27.unmapped",4.37e-05,"malt","fem","exo"
"971","Betaproteobacteria","25.unmapped",6.59e-05,"control","fem","exo"
"972","Betaproteobacteria","26.unmapped",0.000137874,"control","fem","exo"
"973","Betaproteobacteria","23.unmapped",0.000219228,"malt","male","exo"
"974","Actinomycetia","27.unmapped",4.11e-05,"malt","fem","exo"
"975","Actinomycetia","20.unmapped",4.54e-05,"control","male","exo"
"976","Clostridia","27.unmapped",6.17e-05,"malt","fem","exo"
"977","Deltaproteobacteria","19.unmapped",4.8e-05,"control","male","exo"
"978","Deltaproteobacteria","22.unmapped",4.88e-05,"malt","male","exo"
"979","Deltaproteobacteria","28.unmapped",5.22e-05,"malt","fem","exo"
"980","Clostridia","27.unmapped",6.77e-05,"malt","fem","exo"
"981","Clostridia","27.unmapped",5.31e-05,"malt","fem","exo"
"982","Deltaproteobacteria","29.unmapped",8.31e-05,"malt","fem","exo"
"983","Deltaproteobacteria","26.unmapped",5.74e-05,"control","fem","exo"
"984","Deltaproteobacteria","21.unmapped",4.28e-05,"malt","male","exo"
"985","Deltaproteobacteria","18.unmapped",9.93e-05,"control","male","exo"
"986","Deltaproteobacteria","28.unmapped",0.000125029,"malt","fem","exo"
"987","Deltaproteobacteria","17.unmapped",0.000106189,"control","male","exo"
"988","Deltaproteobacteria","19.unmapped",7.71e-05,"control","male","exo"
"989","Deltaproteobacteria","22.unmapped",0.000111327,"malt","male","exo"
"990","Deltaproteobacteria","27.unmapped",5.57e-05,"malt","fem","exo"
"991","Deltaproteobacteria","29.unmapped",5.48e-05,"malt","fem","exo"
"992","Deltaproteobacteria","26.unmapped",4.88e-05,"control","fem","exo"
"993","Deltaproteobacteria","18.unmapped",5.82e-05,"control","male","exo"
"994","Alphaproteobacteria","19.unmapped",6.34e-05,"control","male","exo"
"995","Alphaproteobacteria","17.unmapped",0.000100194,"control","male","exo"
"996","Alphaproteobacteria","29.unmapped",7.79e-05,"malt","fem","exo"
"997","Alphaproteobacteria","27.unmapped",9.33e-05,"malt","fem","exo"
"998","Alphaproteobacteria","22.unmapped",5.91e-05,"malt","male","exo"
"999","Alphaproteobacteria","20.unmapped",4.88e-05,"control","male","exo"
"1000","Alphaproteobacteria","28.unmapped",7.62e-05,"malt","fem","exo"
"1001","Alphaproteobacteria","18.unmapped",6.68e-05,"control","male","exo"
"1002","Alphaproteobacteria","28.unmapped",9.16e-05,"malt","fem","exo"
"1003","Alphaproteobacteria","18.unmapped",6.42e-05,"control","male","exo"
"1004","Alphaproteobacteria","26.unmapped",4.28e-05,"control","fem","exo"
"1005","Alphaproteobacteria","23.unmapped",7.02e-05,"malt","male","exo"
"1006","Alphaproteobacteria","29.unmapped",7.88e-05,"malt","fem","exo"
"1007","Alphaproteobacteria","24.unmapped",4.28e-05,"control","fem","exo"
"1008","Alphaproteobacteria","20.unmapped",0.000329699,"control","male","exo"
"1009","Alphaproteobacteria","19.unmapped",6.25e-05,"control","male","exo"
"1010","Alphaproteobacteria","21.unmapped",4.28e-05,"malt","male","exo"
"1011","Alphaproteobacteria","27.unmapped",7.79e-05,"malt","fem","exo"
"1012","Alphaproteobacteria","17.unmapped",8.82e-05,"control","male","exo"
"1013","Alphaproteobacteria","22.unmapped",8.82e-05,"malt","male","exo"
"1014","Betaproteobacteria","20.unmapped",0.000982246,"control","male","exo"
"1015","Betaproteobacteria","27.unmapped",0.000348539,"malt","fem","exo"
"1016","Betaproteobacteria","29.unmapped",0.000266328,"malt","fem","exo"
"1017","Betaproteobacteria","24.unmapped",0.000241494,"control","fem","exo"
"1018","Betaproteobacteria","25.unmapped",0.000506966,"control","fem","exo"
"1019","Betaproteobacteria","21.unmapped",0.001145811,"malt","male","exo"
"1020","Betaproteobacteria","19.unmapped",0.000700503,"control","male","exo"
"1021","Betaproteobacteria","26.unmapped",0.000459866,"control","fem","exo"
"1022","Betaproteobacteria","22.unmapped",0.000206383,"malt","male","exo"
"1023","Betaproteobacteria","28.unmapped",0.000126741,"malt","fem","exo"
"1024","Actinomycetia","21.unmapped",0.000110471,"malt","male","exo"
"1025","Actinomycetia","22.unmapped",9.59e-05,"malt","male","exo"
"1026","Actinomycetia","21.unmapped",0.000727907,"malt","male","exo"
"1027","Actinomycetia","24.unmapped",6.85e-05,"control","fem","exo"
"1028","Actinomycetia","20.unmapped",0.000106189,"control","male","exo"
"1029","Actinomycetia","28.unmapped",6.85e-05,"malt","fem","exo"
"1030","Actinomycetia","23.unmapped",0.000387075,"malt","male","exo"
"1031","Actinomycetia","27.unmapped",4.37e-05,"malt","fem","exo"
"1032","Actinomycetia","26.unmapped",0.000295445,"control","fem","exo"
"1033","Actinomycetia","29.unmapped",4.11e-05,"malt","fem","exo"
"1034","Actinomycetia","25.unmapped",0.000222654,"control","fem","exo"
"1035","Actinomycetia","19.unmapped",7.62e-05,"control","male","exo"
"1036","Actinomycetia","22.unmapped",4.37e-05,"malt","male","exo"
"1037","Actinomycetia","25.unmapped",4.2e-05,"control","fem","exo"
"1038","Actinomycetia","21.unmapped",4.8e-05,"malt","male","exo"
"1039","Actinomycetia","23.unmapped",0.000107045,"malt","male","exo"
"1040","Actinomycetia","21.unmapped",0.000333124,"malt","male","exo"
"1041","Actinomycetia","27.unmapped",7.62e-05,"malt","fem","exo"
"1042","Actinomycetia","21.unmapped",8.05e-05,"malt","male","exo"
"1043","Cytophagia","18.unmapped",0.000130167,"control","male","exo"
"1044","Cytophagia","17.unmapped",0.00013873,"control","male","exo"
"1045","Cytophagia","20.unmapped",0.000137874,"control","male","exo"
"1046","Cytophagia","23.unmapped",5.4e-05,"malt","male","exo"
"1047","Cytophagia","28.unmapped",0.000165278,"malt","fem","exo"
"1048","Cytophagia","27.unmapped",8.22e-05,"malt","fem","exo"
"1049","Cytophagia","22.unmapped",0.000170416,"malt","male","exo"
"1050","Cytophagia","19.unmapped",0.00012931,"control","male","exo"
"1051","Cytophagia","29.unmapped",0.00013873,"malt","fem","exo"
"1052","Gammaproteobacteria","26.unmapped",4.71e-05,"control","fem","exo"
"1053","Flavobacteriia","23.unmapped",4.2e-05,"malt","male","exo"
"1054","Gammaproteobacteria","23.unmapped",6.42e-05,"malt","male","exo"
"1055","Gammaproteobacteria","26.unmapped",5.82e-05,"control","fem","exo"
"1056","Bacilli","29.unmapped",4.8e-05,"malt","fem","exo"
"1057","Bacilli","28.unmapped",4.8e-05,"malt","fem","exo"
"1058","Bacilli","19.unmapped",5.31e-05,"control","male","exo"
"1059","Erysipelotrichia","20.unmapped",5.31e-05,"control","male","exo"
"1060","Alphaproteobacteria","23.unmapped",0.000221797,"malt","male","exo"
"1061","Alphaproteobacteria","25.unmapped",7.96e-05,"control","fem","exo"
"1062","Alphaproteobacteria","22.unmapped",4.28e-05,"malt","male","exo"
"1063","Alphaproteobacteria","27.unmapped",4.45e-05,"malt","fem","exo"
"1064","Alphaproteobacteria","26.unmapped",6.51e-05,"control","fem","exo"
"1065","Alphaproteobacteria","20.unmapped",4.37e-05,"control","male","exo"
"1066","Gammaproteobacteria","18.unmapped",0.001235729,"control","male","exo"
"1067","Gammaproteobacteria","25.unmapped",0.000892328,"control","fem","exo"
"1068","Gammaproteobacteria","19.unmapped",0.000313428,"control","male","exo"
"1069","Gammaproteobacteria","20.unmapped",0.000908599,"control","male","exo"
"1070","Gammaproteobacteria","29.unmapped",0.001045617,"malt","fem","exo"
"1071","Gammaproteobacteria","28.unmapped",0.000573762,"malt","fem","exo"
"1072","Gammaproteobacteria","22.unmapped",0.001263132,"malt","male","exo"
"1073","Gammaproteobacteria","17.unmapped",0.000794703,"control","male","exo"
"1074","Gammaproteobacteria","21.unmapped",0.002032144,"malt","male","exo"
"1075","Gammaproteobacteria","23.unmapped",0.002241096,"malt","male","exo"
"1076","Gammaproteobacteria","24.unmapped",0.000828957,"control","fem","exo"
