"","Class","case","fraction_total_reads","group","sex","sample"
"89","Gammaproteobacteria","18.unmapped",0.001057606,"control","male","exo"
"90","Gammaproteobacteria","20.unmapped",0.000137874,"control","male","exo"
"91","Gammaproteobacteria","26.unmapped",0.000587464,"control","fem","exo"
"92","Gammaproteobacteria","24.unmapped",0.000479562,"control","fem","exo"
"93","Gammaproteobacteria","19.unmapped",0.000446164,"control","male","exo"
"94","Gammaproteobacteria","25.unmapped",0.000291163,"control","fem","exo"
"95","Gammaproteobacteria","21.unmapped",0.000438457,"malt","male","exo"
"96","Gammaproteobacteria","27.unmapped",0.000846085,"malt","fem","exo"
"97","Gammaproteobacteria","17.unmapped",0.001048186,"control","male","exo"
"98","Gammaproteobacteria","22.unmapped",0.001515759,"malt","male","exo"
"99","Gammaproteobacteria","29.unmapped",0.001314514,"malt","fem","exo"
"100","Gammaproteobacteria","19.unmapped",5.48e-05,"control","male","exo"
"101","Gammaproteobacteria","19.unmapped",7.79e-05,"control","male","exo"
"102","Gammaproteobacteria","26.unmapped",0.00017641,"control","fem","exo"
"103","Gammaproteobacteria","23.unmapped",0.000238925,"malt","male","exo"
"104","Gammaproteobacteria","17.unmapped",0.000744178,"control","male","exo"
"105","Gammaproteobacteria","28.unmapped",0.000933433,"malt","fem","exo"
"106","Gammaproteobacteria","22.unmapped",0.000559204,"malt","male","exo"
"107","Gammaproteobacteria","27.unmapped",0.000226936,"malt","fem","exo"
"108","Gammaproteobacteria","19.unmapped",0.001538024,"control","male","exo"
"109","Gammaproteobacteria","20.unmapped",0.000301439,"control","male","exo"
"110","Gammaproteobacteria","21.unmapped",0.000208952,"malt","male","exo"
"111","Gammaproteobacteria","29.unmapped",0.000379368,"malt","fem","exo"
"112","Gammaproteobacteria","25.unmapped",0.000480418,"control","fem","exo"
"113","Gammaproteobacteria","18.unmapped",0.000625143,"control","male","exo"
"114","Gammaproteobacteria","24.unmapped",0.000375086,"control","fem","exo"
"115","Gammaproteobacteria","28.unmapped",7.54e-05,"malt","fem","exo"
"116","Gammaproteobacteria","18.unmapped",5.57e-05,"control","male","exo"
"117","Gammaproteobacteria","24.unmapped",6.77e-05,"control","fem","exo"
"118","Gammaproteobacteria","23.unmapped",0.000105332,"malt","male","exo"
"119","Gammaproteobacteria","21.unmapped",5.48e-05,"malt","male","exo"
"120","Gammaproteobacteria","17.unmapped",5.4e-05,"control","male","exo"
"121","Gammaproteobacteria","22.unmapped",5.57e-05,"malt","male","exo"
"122","Gammaproteobacteria","20.unmapped",6.34e-05,"control","male","exo"
"123","Gammaproteobacteria","29.unmapped",8.14e-05,"malt","fem","exo"
"124","Gammaproteobacteria","19.unmapped",5.22e-05,"control","male","exo"
"125","Gammaproteobacteria","18.unmapped",4.88e-05,"control","male","exo"
"126","Gammaproteobacteria","28.unmapped",0.000179836,"malt","fem","exo"
"127","Gammaproteobacteria","19.unmapped",7.02e-05,"control","male","exo"
"128","Gammaproteobacteria","20.unmapped",6.25e-05,"control","male","exo"
"129","Gammaproteobacteria","27.unmapped",0.000136161,"malt","fem","exo"
"130","Gammaproteobacteria","17.unmapped",0.000125885,"control","male","exo"
"131","Gammaproteobacteria","22.unmapped",4.71e-05,"malt","male","exo"
"132","Gammaproteobacteria","26.unmapped",0.000225223,"control","fem","exo"
"133","Gammaproteobacteria","27.unmapped",4.11e-05,"malt","fem","exo"
"134","Gammaproteobacteria","18.unmapped",8.14e-05,"control","male","exo"
"135","Gammaproteobacteria","28.unmapped",0.000107901,"malt","fem","exo"
"136","Gammaproteobacteria","19.unmapped",6.08e-05,"control","male","exo"
"137","Gammaproteobacteria","17.unmapped",6.77e-05,"control","male","exo"
"138","Gammaproteobacteria","29.unmapped",7.02e-05,"malt","fem","exo"
"139","Gammaproteobacteria","22.unmapped",5.48e-05,"malt","male","exo"
"140","Gammaproteobacteria","22.unmapped",4.8e-05,"malt","male","exo"
"141","Gammaproteobacteria","29.unmapped",4.37e-05,"malt","fem","exo"
"142","Gammaproteobacteria","19.unmapped",5.65e-05,"control","male","exo"
"143","Gammaproteobacteria","28.unmapped",6.17e-05,"malt","fem","exo"
"144","Gammaproteobacteria","17.unmapped",5.05e-05,"control","male","exo"
"145","Gammaproteobacteria","18.unmapped",5.48e-05,"control","male","exo"
"146","Gammaproteobacteria","22.unmapped",4.11e-05,"malt","male","exo"
"147","Gammaproteobacteria","24.unmapped",6.17e-05,"control","fem","exo"
"148","Gammaproteobacteria","29.unmapped",4.45e-05,"malt","fem","exo"
"149","Gammaproteobacteria","19.unmapped",5.05e-05,"control","male","exo"
"150","Gammaproteobacteria","17.unmapped",4.37e-05,"control","male","exo"
"151","Gammaproteobacteria","28.unmapped",0.000196963,"malt","fem","exo"
"152","Gammaproteobacteria","22.unmapped",0.000156714,"malt","male","exo"
"153","Gammaproteobacteria","29.unmapped",0.000153289,"malt","fem","exo"
"154","Gammaproteobacteria","18.unmapped",0.000137874,"control","male","exo"
"155","Gammaproteobacteria","19.unmapped",0.000154145,"control","male","exo"
"156","Gammaproteobacteria","17.unmapped",0.000125885,"control","male","exo"
"157","Gammaproteobacteria","28.unmapped",5.14e-05,"malt","fem","exo"
"158","Gammaproteobacteria","19.unmapped",6.68e-05,"control","male","exo"
"159","Gammaproteobacteria","17.unmapped",4.54e-05,"control","male","exo"
"160","Actinomycetia","17.unmapped",4.45e-05,"control","male","exo"
"161","Actinomycetia","24.unmapped",5.05e-05,"control","fem","exo"
"162","Actinomycetia","26.unmapped",4.37e-05,"control","fem","exo"
"163","Actinomycetia","24.unmapped",4.97e-05,"control","fem","exo"
"164","Actinomycetia","21.unmapped",7.54e-05,"malt","male","exo"
"165","Actinomycetia","26.unmapped",7.11e-05,"control","fem","exo"
"166","Actinomycetia","24.unmapped",9.08e-05,"control","fem","exo"
"167","Actinomycetia","17.unmapped",9.68e-05,"control","male","exo"
"168","Actinomycetia","21.unmapped",6.94e-05,"malt","male","exo"
"169","Actinomycetia","28.unmapped",0.000120747,"malt","fem","exo"
"170","Actinomycetia","25.unmapped",0.000107045,"control","fem","exo"
"171","Actinomycetia","25.unmapped",8.14e-05,"control","fem","exo"
"172","Actinomycetia","29.unmapped",0.000104476,"malt","fem","exo"
"173","Actinomycetia","26.unmapped",0.000208952,"control","fem","exo"
"174","Actinomycetia","20.unmapped",0.00013188,"control","male","exo"
"175","Actinomycetia","24.unmapped",5.14e-05,"control","fem","exo"
"176","Actinomycetia","26.unmapped",4.28e-05,"control","fem","exo"
"177","Actinomycetia","21.unmapped",6.68e-05,"malt","male","exo"
"178","Bacilli","20.unmapped",8.48e-05,"control","male","exo"
"179","Gammaproteobacteria","22.unmapped",0.000108758,"malt","male","exo"
"180","Gammaproteobacteria","20.unmapped",5.82e-05,"control","male","exo"
"181","Gammaproteobacteria","24.unmapped",5.74e-05,"control","fem","exo"
"182","Gammaproteobacteria","26.unmapped",8.48e-05,"control","fem","exo"
"183","Gammaproteobacteria","24.unmapped",6.34e-05,"control","fem","exo"
"184","Gammaproteobacteria","21.unmapped",8.31e-05,"malt","male","exo"
"185","Gammaproteobacteria","22.unmapped",0.000253483,"malt","male","exo"
"186","Gammaproteobacteria","27.unmapped",0.000107045,"malt","fem","exo"
"187","Gammaproteobacteria","29.unmapped",0.000208952,"malt","fem","exo"
"188","Gammaproteobacteria","19.unmapped",0.000170416,"control","male","exo"
"189","Gammaproteobacteria","28.unmapped",0.000275748,"malt","fem","exo"
"190","Gammaproteobacteria","17.unmapped",0.000290306,"control","male","exo"
"191","Gammaproteobacteria","23.unmapped",0.000121603,"malt","male","exo"
"192","Gammaproteobacteria","18.unmapped",0.000174698,"control","male","exo"
"193","Gammaproteobacteria","26.unmapped",4.2e-05,"control","fem","exo"
"194","Alphaproteobacteria","23.unmapped",4.11e-05,"malt","male","exo"
"195","Actinomycetia","20.unmapped",7.54e-05,"control","male","exo"
"196","Actinomycetia","27.unmapped",5.05e-05,"malt","fem","exo"
"197","Verrucomicrobiae","24.unmapped",8.48e-05,"control","fem","exo"
"198","Verrucomicrobiae","17.unmapped",9.25e-05,"control","male","exo"
"199","Verrucomicrobiae","25.unmapped",8.14e-05,"control","fem","exo"
"200","Verrucomicrobiae","19.unmapped",8.82e-05,"control","male","exo"
"201","Verrucomicrobiae","26.unmapped",7.88e-05,"control","fem","exo"
"202","Verrucomicrobiae","29.unmapped",0.000119034,"malt","fem","exo"
"203","Verrucomicrobiae","28.unmapped",0.000123316,"malt","fem","exo"
"204","Verrucomicrobiae","20.unmapped",7.96e-05,"control","male","exo"
"205","Verrucomicrobiae","27.unmapped",6.59e-05,"malt","fem","exo"
"206","Verrucomicrobiae","21.unmapped",5.48e-05,"malt","male","exo"
"207","Verrucomicrobiae","22.unmapped",9.51e-05,"malt","male","exo"
"208","Verrucomicrobiae","18.unmapped",0.000101051,"control","male","exo"
"209","Gammaproteobacteria","27.unmapped",5.57e-05,"malt","fem","exo"
"210","Betaproteobacteria","21.unmapped",4.8e-05,"malt","male","exo"
"211","Betaproteobacteria","23.unmapped",0.000184974,"malt","male","exo"
"212","Betaproteobacteria","20.unmapped",7.71e-05,"control","male","exo"
"213","Betaproteobacteria","24.unmapped",5.05e-05,"control","fem","exo"
"214","Betaproteobacteria","27.unmapped",4.2e-05,"malt","fem","exo"
"215","Betaproteobacteria","25.unmapped",8.22e-05,"control","fem","exo"
"216","Epsilonproteobacteria","19.unmapped",4.11e-05,"control","male","exo"
"217","Bacteroidia","18.unmapped",5.99e-05,"control","male","exo"
"218","Bacteroidia","19.unmapped",4.11e-05,"control","male","exo"
"219","Bacteroidia","28.unmapped",4.97e-05,"malt","fem","exo"
"220","Alphaproteobacteria","21.unmapped",4.11e-05,"malt","male","exo"
"221","Gammaproteobacteria","29.unmapped",5.74e-05,"malt","fem","exo"
"222","Tissierellia","26.unmapped",5.91e-05,"control","fem","exo"
"223","Tissierellia","20.unmapped",0.00011304,"control","male","exo"
"224","Tissierellia","26.unmapped",8.39e-05,"control","fem","exo"
"225","Anaerolineae","18.unmapped",4.37e-05,"control","male","exo"
"226","Anaerolineae","22.unmapped",5.65e-05,"malt","male","exo"
"227","Anaerolineae","28.unmapped",4.71e-05,"malt","fem","exo"
"228","Anaerolineae","17.unmapped",4.88e-05,"control","male","exo"
"229","Anaerolineae","29.unmapped",4.97e-05,"malt","fem","exo"
"230","Deltaproteobacteria","29.unmapped",4.28e-05,"malt","fem","exo"
"231","Clostridia","17.unmapped",5.65e-05,"control","male","exo"
"232","Clostridia","29.unmapped",6.59e-05,"malt","fem","exo"
"233","Clostridia","22.unmapped",6.08e-05,"malt","male","exo"
"234","Betaproteobacteria","26.unmapped",0.000132736,"control","fem","exo"
"235","Betaproteobacteria","20.unmapped",6.08e-05,"control","male","exo"
