Phylum,Class,22.unmapped,27.unmapped,21.unmapped,24.unmapped,25.unmapped,28.unmapped,29.unmapped,23.unmapped,17.unmapped,26.unmapped,18.unmapped,19.unmapped,20.unmapped
Firmicutes,Clostridia,2.97E-05,0.000216377,5.32E-05,0.000211601,0.000100588,0.000145927,0,2.69E-05,0.000100565,1.57E-05,0.000102721,2.74E-05,0
Firmicutes,Clostridia,0,6.18E-05,0,0,0.000184412,0,0,0.000107469,0.000569867,0.000518281,0,6.85E-05,0.000248996
Firmicutes,Clostridia,0,0,0.00052146,0.000174259,1.68E-05,0.00041125,0,0,0,4.71E-05,7.34E-05,0,1.56E-05
Firmicutes,Clostridia,0.000267738,0,0,0.000186706,0.000771178,0,3.06E-05,0,0.000234651,0.000266993,0.000102721,4.11E-05,0.000280121
Bacteroidetes,NA,0,0.00017001,0.000212841,0,0,0.000331653,0,0.000134336,0,1.57E-05,0.000249464,0,0.000420181
Firmicutes,NA,0,0,0.000148988,0,0,1.33E-05,0,0.000201505,0,1.57E-05,0,0.00010966,3.11E-05
Firmicutes,Clostridia,0.000163617,0.000231832,0,3.73E-05,8.38E-05,0.000185726,0.000244813,0,0.000284934,0.000109938,0,9.60E-05,9.34E-05
Firmicutes,NA,4.46E-05,3.09E-05,3.19E-05,7.47E-05,8.38E-05,0.000106129,0.000198911,0.000308974,1.68E-05,0.000188466,4.40E-05,2.74E-05,0.000980423
Firmicutes,Clostridia,0.000163617,4.64E-05,1.06E-05,0.000161812,0.000167647,9.29E-05,0.000122407,5.37E-05,3.35E-05,0.000141349,5.87E-05,0.000164489,1.56E-05
Firmicutes,Clostridia,8.92E-05,0.000123644,0,0.001070451,0.000150883,9.29E-05,0.000122407,0,0,3.14E-05,2.93E-05,4.11E-05,0
Firmicutes,Clostridia,0,0.000139099,0,0,0,5.31E-05,0.000979252,0,0.000167608,0,0,2.74E-05,0
Bacteroidetes,Bacteroidia,0.000877584,0.000185466,0.000659806,0,0,0,0,0.000604514,0.000117326,0,0,9.60E-05,0
Firmicutes,Clostridia,1.49E-05,0,0.000223483,0.000286283,0.000201177,0.000291855,0.000122407,8.06E-05,5.03E-05,1.57E-05,5.87E-05,0,4.67E-05
Firmicutes,Erysipelotrichia,8.92E-05,4.64E-05,0.000212841,2.49E-05,0.000167647,2.65E-05,7.65E-05,5.37E-05,6.70E-05,0,0.000102721,2.74E-05,0.000389057
Firmicutes,Clostridia,0.000163617,0.000108188,0.000585312,2.49E-05,1.68E-05,0.000185726,1.53E-05,0,0.000167608,3.14E-05,8.80E-05,0.00010966,1.56E-05
Firmicutes,Clostridia,4.46E-05,6.18E-05,0,0.000124471,5.03E-05,0.000145927,4.59E-05,2.69E-05,0,9.42E-05,5.87E-05,5.48E-05,9.34E-05
Firmicutes,NA,8.92E-05,3.09E-05,5.32E-05,0.000248942,0.000150883,6.63E-05,0.000290715,0.000134336,6.70E-05,0.000251288,7.34E-05,1.37E-05,0.000186747
Firmicutes,Clostridia,5.95E-05,0.000154555,0,0.000286283,0.000469413,0.000742903,3.06E-05,0,1.68E-05,0.000439754,2.93E-05,0,0
Elusimicrobia,Elusimicrobia,0.000282612,0,0,0,0,0,3.06E-05,0.000497045,0.001055931,0,0,0.000945814,0
Firmicutes,Clostridia,5.95E-05,1.55E-05,0.000329903,2.49E-05,0.00035206,7.96E-05,0.000214211,6.72E-05,5.03E-05,0.000298404,0.000220116,4.11E-05,0.00014006
Firmicutes,Clostridia,2.97E-05,9.27E-05,1.06E-05,0,0.000402354,0.000119395,0.000260114,0,0.000167608,0.000392637,2.93E-05,0.000178197,0
Firmicutes,Clostridia,0.00010412,0.000123644,3.19E-05,9.96E-05,6.71E-05,0.000119395,0.00018361,1.34E-05,0.000234651,0.000141349,7.34E-05,0.000123367,0.000280121
Bacteroidetes,Bacteroidia,0.000148743,0,0.000297977,0.000734379,0.000167647,2.65E-05,6.12E-05,0.000120903,5.03E-05,0.000188466,0,0.000178197,0.000124498
Lentisphaerae,Oligosphaeria,2.97E-05,0.000108188,0.000138346,2.49E-05,6.71E-05,0.000318387,0.000290715,8.06E-05,0.000586628,4.71E-05,0,0.000274149,0.000217872
Firmicutes,Clostridia,0,3.09E-05,0.000478892,0.00029873,1.68E-05,0.000397984,0,0,0,4.71E-05,4.40E-05,0,0
Firmicutes,Clostridia,0.000118994,0.000386387,2.13E-05,0,5.03E-05,0.000132661,0.000214211,8.06E-05,0.00021789,0.000125644,1.47E-05,0.000246734,7.78E-05
Bacteroidetes,Bacteroidia,0.000178492,0,2.13E-05,0.000236495,0,5.31E-05,4.59E-05,4.03E-05,1.68E-05,0.000109938,0.000161418,0,6.22E-05
Spirochaetes,Spirochaetia,0.000431355,0,0,0,0,0,0,0,6.70E-05,0,0,0.001877921,0
Verrucomicrobia,Subdivision5,4.46E-05,0.000108188,0,1.24E-05,5.03E-05,2.65E-05,0.000902748,4.03E-05,0.00041902,1.57E-05,0,9.60E-05,0.000373494
Verrucomicrobia,Subdivision5,1.49E-05,0.000231832,4.26E-05,0,0.00031853,0.000132661,0.000596732,0,0.000150847,0.000282699,0,0.000164489,0.00034237
Proteobacteria,Betaproteobacteria,0.000297486,4.64E-05,4.26E-05,0.000186706,0.000234706,0.000212258,6.12E-05,0.000174637,0.000117326,0.000188466,0.000117395,0.000123367,0.000295683
Firmicutes,Clostridia,0.000282612,1.55E-05,9.58E-05,0,8.38E-05,0.000159193,9.18E-05,0.000120903,0.000117326,7.85E-05,0.000102721,1.37E-05,0.000186747
Firmicutes,Clostridia,4.46E-05,0.000247288,0,0,3.35E-05,0.000397984,0.000107106,0,0.000251412,0.000345521,0,2.74E-05,0
Firmicutes,Clostridia,0.000371858,0,0,0.000124471,0,0.00017246,4.59E-05,8.06E-05,0.000100565,0.000109938,0.000293488,0,1.56E-05
NA,NA,0,0,0,0,0,0,3.06E-05,0,0.000117326,0.000565398,0,0,0.000746989
Firmicutes,Clostridia,0.000148743,9.27E-05,0.000127704,0.000261389,5.03E-05,2.65E-05,0.000306016,1.34E-05,3.35E-05,1.57E-05,4.40E-05,0.000164489,0.000202309
